,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,clusters,cluster
12812,75,1,18,0,75,0,yellow
12813,40,1,32,2,40,0,yellow
12814,37,1,33,3,37,0,yellow
12815,75,2,4,8,75,0,yellow
12816,54,1,40,2,54,0,yellow
12817,36,1,36,4,36,0,yellow
12818,65,0,33,0,65,0,yellow
12819,49,1,30,1,49,0,yellow
12820,41,1,41,2,23,0,yellow
12821,37,1,28,3,37,0,yellow
12822,90,5,17,2,90,0,yellow
12823,72,1,26,2,72,0,yellow
12824,13,0,12,0,13,0,yellow
12825,36,1,16,10,36,0,yellow
12826,34,0,19,1,34,0,yellow
12827,39,0,29,1,39,0,yellow
12828,16,1,3,0,16,0,yellow
12829,35,1,35,1,17,0,yellow
12830,57,1,38,1,57,0,yellow
12831,62,1,37,2,62,0,yellow
12832,56,1,43,5,56,0,yellow
12833,42,1,32,8,42,0,yellow
12834,40,1,33,0,40,0,yellow
12835,77,1,31,0,77,0,yellow
12836,31,0,30,1,31,0,yellow
12837,54,1,29,9,54,0,yellow
12838,39,1,30,0,39,0,yellow
12839,217,12,14,14,217,1,red
12840,169,1,169,3,156,1,red
12841,47,1,47,1,22,0,yellow
12842,42,1,30,9,42,0,yellow
12843,38,1,38,0,22,0,yellow
12844,68,1,34,5,68,0,yellow
12845,47,1,13,0,47,0,yellow
12846,24,0,24,0,11,0,yellow
12847,39,1,39,2,39,0,yellow
12848,77,3,3,10,77,0,yellow
12849,61,0,31,1,61,0,yellow
12850,62,0,46,0,62,0,yellow
12851,77,1,23,0,77,0,yellow
12852,42,1,42,3,21,0,yellow
12853,165,1,45,0,165,1,red
12854,47,1,30,4,47,0,yellow
12855,48,1,22,3,48,0,yellow
12856,431,1,57,1,339,2,black
12857,69,0,22,0,69,0,yellow
12858,75,3,8,8,75,0,yellow
12859,27,0,27,1,25,0,yellow
12860,73,1,23,1,73,0,yellow
12861,40,0,40,0,24,0,yellow
12862,42,1,31,3,42,0,yellow
12863,201,5,201,4,154,1,red
12864,39,1,10,3,39,0,yellow
12865,55,1,18,6,55,0,yellow
12866,55,1,45,0,55,0,yellow
12867,29,1,16,2,29,0,yellow
12868,21,0,20,0,21,0,yellow
12869,30,0,17,0,30,0,yellow
12870,54,1,32,5,54,0,yellow
12871,49,1,49,2,38,0,yellow
12872,76,2,34,10,76,0,yellow
12873,35,1,23,2,35,0,yellow
12874,42,0,28,0,42,0,yellow
12875,26,1,25,2,26,0,yellow
12876,30,1,30,0,21,0,yellow
12877,500,1,37,0,457,2,black
12878,56,0,31,1,56,0,yellow
12879,439,1,47,0,361,2,black
12880,92,2,16,5,92,0,yellow
12881,120,0,30,0,120,1,red
12882,194,1,41,0,194,1,red
12883,50,1,30,7,50,0,yellow
12884,50,1,23,3,50,0,yellow
12885,42,1,32,8,42,0,yellow
12886,51,1,34,1,51,0,yellow
12887,41,1,34,1,41,0,yellow
12888,130,1,77,0,130,1,red
12889,201,2,201,5,134,1,red
12890,56,1,17,0,56,0,yellow
12891,166,1,44,0,166,1,red
12892,38,1,38,2,26,0,yellow
12893,35,1,5,2,35,0,yellow
12894,45,1,32,3,45,0,yellow
12895,43,0,17,0,43,0,yellow
12896,37,1,37,0,27,0,yellow
12897,61,1,57,2,61,0,yellow
12898,52,1,6,4,52,0,yellow
12899,70,1,39,1,70,0,yellow
12900,45,1,45,1,32,0,yellow
12901,32,1,5,3,32,0,yellow
12902,54,1,49,2,54,0,yellow
12903,88,3,12,26,88,0,yellow
12904,68,2,38,0,68,0,yellow
12905,18,0,18,0,17,0,yellow
12906,40,1,40,0,36,0,yellow
12907,165,1,29,0,165,1,red
12908,43,1,29,0,43,0,yellow
12909,36,1,36,0,34,0,yellow
12910,56,2,35,1,56,0,yellow
12911,33,0,33,0,13,0,yellow
12912,82,1,34,4,82,0,yellow
12913,61,1,41,0,61,0,yellow
12914,41,1,41,0,25,0,yellow
12915,68,1,37,1,68,0,yellow
12916,57,1,36,2,57,0,yellow
12917,46,1,7,3,46,0,yellow
12918,56,1,29,2,56,0,yellow
12919,70,2,27,6,70,0,yellow
12920,29,1,29,4,25,0,yellow
12921,37,1,37,0,17,0,yellow
12922,176,1,36,0,176,1,red
12923,35,1,35,0,25,0,yellow
12924,66,2,23,0,66,0,yellow
12925,49,1,49,2,25,0,yellow
12926,25,1,25,1,24,0,yellow
12927,45,1,35,1,45,0,yellow
12928,142,2,142,1,134,1,red
12929,176,3,176,1,154,1,red
12930,150,1,33,0,150,1,red
12931,92,1,33,4,92,0,yellow
12932,22,0,22,0,17,0,yellow
12933,48,1,31,7,48,0,yellow
12934,67,1,29,1,67,0,yellow
12935,71,4,41,4,71,0,yellow
12936,55,2,15,20,55,0,yellow
12937,23,0,21,0,23,0,yellow
12938,57,1,39,3,57,0,yellow
12939,51,1,13,1,51,0,yellow
12940,129,1,47,0,129,1,red
