,Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,clusters
14443,Cambodia,Kampong Thum,44,Good,1,Good,21,Good,0,Good,44,Good,0
14444,Japan,Kanuma,42,Good,1,Good,42,Good,1,Good,36,Good,0
14445,India,Karari,223,Very Unhealthy,1,Good,46,Good,0,Good,223,Very Unhealthy,2
14446,Uzbekistan,Karauzyak,76,Moderate,1,Good,40,Good,0,Good,76,Moderate,0
14447,India,Katghora,166,Unhealthy,1,Good,56,Moderate,1,Good,166,Unhealthy,2
14448,Republic of North Macedonia,Kavadarci,58,Moderate,1,Good,44,Good,0,Good,58,Moderate,0
14449,Myanmar,Kayan,56,Moderate,0,Good,24,Good,0,Good,56,Moderate,0
14450,Mali,Kayes,113,Unhealthy for Sensitive Groups,1,Good,28,Good,1,Good,113,Unhealthy for Sensitive Groups,2
14451,Senegal,Kebemer,101,Unhealthy for Sensitive Groups,1,Good,27,Good,1,Good,101,Unhealthy for Sensitive Groups,0
14452,Kazakhstan,Kentau,105,Unhealthy for Sensitive Groups,1,Good,34,Good,0,Good,105,Unhealthy for Sensitive Groups,2
14453,Poland,Gniezno,33,Good,1,Good,33,Good,0,Good,31,Good,0
14454,India,Gormi,188,Unhealthy,1,Good,46,Good,0,Good,188,Unhealthy,2
14455,United States of America,Green Bay,48,Good,1,Good,19,Good,7,Good,48,Good,0
14456,Poland,Grodzisk Mazowiecki,34,Good,1,Good,34,Good,1,Good,29,Good,0
14457,Colombia,Guaduas,73,Moderate,2,Good,10,Good,4,Good,73,Moderate,0
14458,Egypt,Fowa,68,Moderate,2,Good,68,Moderate,4,Good,62,Moderate,0
14459,Germany,Friedberg,33,Good,1,Good,32,Good,3,Good,33,Good,0
14460,France,Frontignan,48,Good,1,Good,37,Good,0,Good,48,Good,0
14461,India,Garhshankar,325,Hazardous,2,Good,160,Unhealthy,2,Good,325,Hazardous,1
